,Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
0,condition,0.002968756326935544,1,55,0.002968756326935544,0.15860089457913593,0.6919896886052677,0.6919896886052677,0.0004420916576675308,1.0
1,block,0.005531165219063896,1,55,0.005531165219063896,0.25841128709255967,0.6132467027570221,0.6132467027570221,0.0008233580042493387,1.0
2,condition * block,0.0027144135183835493,1,55,0.0027144135183835493,0.1502984695067783,0.6997466382562665,0.6997466382562665,0.0004042315679438462,1.0
