,age,n_male,n_female
count,57.0,17,39
mean,26.94736842105263,17,39
std,9.140610038706347,17,39
min,18.0,17,39
25%,21.0,17,39
50%,24.0,17,39
75%,29.0,17,39
max,58.0,17,39
