,Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
0,condition,0.0028751001061801166,1,62,0.0028751001061801166,0.1536022264991921,0.6964603787646704,0.6964603787646704,0.0002684174588880256,1.0
1,block,0.013251274385415873,1,62,0.013251274385415873,0.5998576792144676,0.441576000032646,0.441576000032646,0.0012359330152080432,1.0
2,condition * block,0.00013511522333761218,1,62,0.00013511522333761218,0.007539084119312394,0.9310881277757461,0.9310881277757461,1.2617496165904676e-05,1.0
