trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,discrimin_resp.started,percu_or.started,responser.started,thermode_locali_pic.stopped,discrimin_resp.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,pic_a_utiliser,threshold,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,149.70665639999788,,0.0214629000001878,149.6902028000004,149.69058289999884,154.69009359999836,154.69009860000006,154.706739199999,162.69016929999998,162.69016929999998,162.69016929999998,164.9068100000004,165.69015370000125,165.69015370000125,165.69015370000125,165.67354630000045,4.74,4.06,474,405,8,3,1.2,0.75,468,0,476,0.8,0,m,2.4491651999996975,None,,,,,,,,sub-075,COM3,46.8,2026-05-13_13h31.45.699,2024_RDpaindiscrimination_QUEST,2023.2.3,59.966023250806025,2026-05-13 13h31.55.004596 -0400,
1,0,1,0,165.69015370000125,,,,165.67474260000017,170.67370999999912,170.6737150000008,170.69033330000093,178.67375479999828,178.67375479999828,178.67375479999828,180.89044300000023,181.67378610000014,181.67378610000014,181.67378610000014,181.65719639999952,3.82,4.98,382,498,8,3,1.2,0.75,468,1,478,1,1,n,0.5894908000009309,None,,,,,,,,sub-075,COM3,46.8,2026-05-13_13h31.45.699,2024_RDpaindiscrimination_QUEST,2023.2.3,59.966023250806025,2026-05-13 13h31.55.004596 -0400,
2,0,2,0,181.67378610000014,,,,181.6580830999992,186.65709910000078,186.65710390000095,186.67372319999777,194.65718410000045,194.65718410000045,194.65718410000045,196.87387149999995,197.65727340000012,197.65727340000012,197.65727340000012,197.64061519999814,3.88,4.92,388,492,8,3,1.2,0.75,468,2,475,0.7,0,m,1.1020009999992908,None,,,,,,,,sub-075,COM3,46.8,2026-05-13_13h31.45.699,2024_RDpaindiscrimination_QUEST,2023.2.3,59.966023250806025,2026-05-13 13h31.55.004596 -0400,
3,0,3,0,197.65727340000012,,,,197.64149349999934,202.64073120000103,202.64073579999967,202.6573556000003,210.64078589999917,210.64078589999917,210.64078589999917,212.85742820000087,213.64069250000102,213.64069250000102,213.64069250000102,213.62408539999888,3.9,4.9,390,490,8,3,1.2,0.75,468,3,477,0.8999999999999999,1,n,0.9144911999974283,None,,,,,,,,sub-075,COM3,46.8,2026-05-13_13h31.45.699,2024_RDpaindiscrimination_QUEST,2023.2.3,59.966023250806025,2026-05-13 13h31.55.004596 -0400,
4,0,4,0,213.64069250000102,,,,213.6249874999994,218.62412399999812,218.62412910000057,218.6407763999996,226.62420220000058,226.62420220000058,226.62420220000058,228.84093999999823,229.62432719999924,229.62432719999924,229.62432719999924,229.60773340000014,3.69,5.11,369,511,8,3,1.2,0.75,468,0,477,0.8999999999999999,1,n,0.4669876000007207,None,,,,,,,,sub-075,COM3,46.8,2026-05-13_13h31.45.699,2024_RDpaindiscrimination_QUEST,2023.2.3,59.966023250806025,2026-05-13 13h31.55.004596 -0400,
5,0,5,0,229.62432719999924,,,,229.608619300001,234.60776319999786,234.6077680999988,234.6243859999995,242.60778899999787,242.60778899999787,242.60778899999787,244.82449460000134,245.60784449999846,245.60784449999846,245.60784449999846,245.59119519999877,3.72,5.08,372,508,8,3,1.2,0.75,468,1,476,0.7999999999999999,1,n,1.4114707999979146,None,,,,,,,,sub-075,COM3,46.8,2026-05-13_13h31.45.699,2024_RDpaindiscrimination_QUEST,2023.2.3,59.966023250806025,2026-05-13 13h31.55.004596 -0400,
6,0,6,0,245.60784449999846,,,,245.5920765999981,250.59114860000045,250.59115380000003,250.60780259999956,258.5912439999993,258.5912439999993,258.5912439999993,260.80801620000057,261.59134619999895,261.59134619999895,261.59134619999895,261.574745599999,4.43,4.37,443,437,8,3,1.2,0.75,468,2,476,0.7999999999999999,0,m,0.91191759999856,None,,,,,,,,sub-075,COM3,46.8,2026-05-13_13h31.45.699,2024_RDpaindiscrimination_QUEST,2023.2.3,59.966023250806025,2026-05-13 13h31.55.004596 -0400,
7,0,7,0,261.59134619999895,,,,261.5756670999981,266.574690999998,266.574695299998,266.5914140999994,274.5748323000007,274.5748323000007,274.5748323000007,276.7915185999991,277.57485109999834,277.57485109999834,277.57485109999834,277.5582816999995,4.29,4.51,429,451,8,3,1.2,0.75,468,3,477,0.8999999999999999,1,n,1.4043227000001934,None,,,,,,,,sub-075,COM3,46.8,2026-05-13_13h31.45.699,2024_RDpaindiscrimination_QUEST,2023.2.3,59.966023250806025,2026-05-13 13h31.55.004596 -0400,
8,0,8,0,277.57485109999834,,,,277.55919209999774,282.55830570000035,282.5583106999984,282.5749474000004,290.5582231999979,290.5582231999979,290.5582231999979,292.7749511000002,293.55828699999984,293.55828699999984,293.55828699999984,293.5416858999997,3.51,5.29,351,529,8,3,1.2,0.75,468,0,477,0.8999999999999999,1,n,0.8608669000022928,None,,,,,,,,sub-075,COM3,46.8,2026-05-13_13h31.45.699,2024_RDpaindiscrimination_QUEST,2023.2.3,59.966023250806025,2026-05-13 13h31.55.004596 -0400,
9,0,9,0,293.55828699999984,,,,293.54257099999813,298.5417204000005,298.54172520000066,298.55838700000095,306.5417345999995,306.5417345999995,306.5417345999995,308.7585431999978,309.5418518000006,309.5418518000006,309.5418518000006,309.5252967999986,3.99,4.81,399,480,8,3,1.2,0.75,468,1,476,0.7999999999999999,0,m,1.2094274000010046,None,,,,,,,,sub-075,COM3,46.8,2026-05-13_13h31.45.699,2024_RDpaindiscrimination_QUEST,2023.2.3,59.966023250806025,2026-05-13 13h31.55.004596 -0400,
