trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,discrimin_resp.started,percu_or.started,responser.started,thermode_locali_pic.stopped,discrimin_resp.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,pic_a_utiliser,threshold,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,144.04513299999962,,0.02037659999950847,144.02856819999943,144.02896940000028,149.02858709999964,149.0285920999995,149.04520690000027,157.0286199000002,157.0286199000002,157.0286199000002,159.24527569999918,160.02861269999994,160.02861269999994,160.02861269999994,160.01202849999936,4.33,4.47,433,447,8,3,1.2,0.75,466,0,474,0.8,1,m,1.398754599998938,None,,,,,,,,sub-074,COM3,46.6,2026-05-13_10h44.28.520,2024_RDpaindiscrimination_QUEST,2023.2.3,60.01503976929802,2026-05-13 10h44.44.436794 -0400,
1,0,1,0,160.02861269999994,,,,160.0132082,165.01205850000042,165.01206300000013,165.02870710000025,173.02869719999944,173.02869719999944,173.02869719999944,175.22876199999882,176.02881239999988,176.02881239999988,176.02881239999988,176.01221140000052,3.89,4.91,389,491,8,3,1.2,0.75,466,1,470,0.4,1,m,0.5066806999984692,None,,,,,,,,sub-074,COM3,46.6,2026-05-13_10h44.28.520,2024_RDpaindiscrimination_QUEST,2023.2.3,60.01503976929802,2026-05-13 10h44.44.436794 -0400,
2,0,2,0,176.02881239999988,,,,176.01316880000013,181.01225220000015,181.01225650000015,181.02881399999933,189.01216419999946,189.01216419999946,189.01216419999946,191.22886259999905,192.0122080000001,192.0122080000001,192.0122080000001,191.9956087999999,3.67,5.13,367,513,8,3,1.2,0.75,466,2,469,0.3,1,m,0.5311652000000322,None,,,,,,,,sub-074,COM3,46.6,2026-05-13_10h44.28.520,2024_RDpaindiscrimination_QUEST,2023.2.3,60.01503976929802,2026-05-13 10h44.44.436794 -0400,
3,0,3,0,192.0122080000001,,,,191.99651649999942,196.9956757,196.99568009999894,197.01233030000003,204.9958141999996,204.9958141999996,204.9958141999996,207.21252129999993,207.99583770000027,207.99583770000027,207.99583770000027,207.9792254999993,4.52,4.28,451,428,8,3,1.2,0.75,466,3,469,0.3,1,m,0.9955756999988807,None,,,,,,,,sub-074,COM3,46.6,2026-05-13_10h44.28.520,2024_RDpaindiscrimination_QUEST,2023.2.3,60.01503976929802,2026-05-13 10h44.44.436794 -0400,
4,0,4,0,207.99583770000027,,,,207.98018649999904,212.97928030000003,212.97928469999897,212.99589939999896,220.9791938999988,220.9791938999988,220.9791938999988,223.1960135999998,223.97923609999998,223.97923609999998,223.97923609999998,223.96262509999906,3.49,5.31,349,531,8,3,1.2,0.75,466,0,469,0.3,0,n,0.4480853000004572,None,,,,,,,,sub-074,COM3,46.6,2026-05-13_10h44.28.520,2024_RDpaindiscrimination_QUEST,2023.2.3,60.01503976929802,2026-05-13 10h44.44.436794 -0400,
5,0,5,0,223.97923609999998,,,,223.9635416000001,228.96269519999987,228.9626995999988,228.97936110000046,236.9628327999999,236.9628327999999,236.9628327999999,239.1795201999994,239.9628131999998,239.9628131999998,239.9628131999998,239.9462712000004,4.48,4.32,448,432,8,3,1.2,0.75,466,1,472,0.6,0,n,0.6003866999999445,None,,,,,,,,sub-074,COM3,46.6,2026-05-13_10h44.28.520,2024_RDpaindiscrimination_QUEST,2023.2.3,60.01503976929802,2026-05-13 10h44.44.436794 -0400,
6,0,6,0,239.9628131999998,,,,239.9471840999995,244.94628919999923,244.9462934000003,244.9628759999996,252.94620849999956,252.94620849999956,252.94620849999956,255.1629316999988,255.94627489999948,255.94627489999948,255.94627489999948,255.92968049999945,4.47,4.33,447,433,8,3,1.2,0.75,466,2,475,0.8999999999999999,1,m,1.053179900000032,None,,,,,,,,sub-074,COM3,46.6,2026-05-13_10h44.28.520,2024_RDpaindiscrimination_QUEST,2023.2.3,60.01503976929802,2026-05-13 10h44.44.436794 -0400,
7,0,7,0,255.94627489999948,,,,255.9305958999994,260.92970609999975,260.92971059999945,260.9464317000002,268.9300131,268.9300131,268.9300131,271.14649889999964,271.929877999999,271.929877999999,271.929877999999,271.9132279000005,4.58,4.22,458,422,8,3,1.2,0.75,466,3,475,0.8999999999999999,1,m,0.4372690000000148,None,,,,,,,,sub-074,COM3,46.6,2026-05-13_10h44.28.520,2024_RDpaindiscrimination_QUEST,2023.2.3,60.01503976929802,2026-05-13 10h44.44.436794 -0400,
8,0,8,0,271.929877999999,,,,271.91414579999946,276.91330799999923,276.91331249999894,276.92992849999973,284.91323679999914,284.91323679999914,284.91323679999914,287.13005299999895,287.91339379999954,287.91339379999954,287.91339379999954,287.8967625999994,4.59,4.21,459,421,8,3,1.2,0.75,466,0,473,0.7,0,n,0.5219414000002871,None,,,,,,,,sub-074,COM3,46.6,2026-05-13_10h44.28.520,2024_RDpaindiscrimination_QUEST,2023.2.3,60.01503976929802,2026-05-13 10h44.44.436794 -0400,
9,0,9,0,287.91339379999954,,,,287.89771279999877,292.8967338000002,292.89673839999887,292.91340610000043,300.8968724999995,300.8968724999995,300.8968724999995,303.1135223000001,303.8969058999992,303.8969058999992,303.8969058999992,303.88029639999877,4.14,4.66,413,466,8,3,1.2,0.75,466,1,474,0.7999999999999999,1,m,0.45840099999986705,None,,,,,,,,sub-074,COM3,46.6,2026-05-13_10h44.28.520,2024_RDpaindiscrimination_QUEST,2023.2.3,60.01503976929802,2026-05-13 10h44.44.436794 -0400,
10,0,10,0,303.8969058999992,,,,303.8812058000003,308.8802158999988,308.8802199999991,308.89686959999926,316.8803329000002,316.8803329000002,316.8803329000002,319.09698319999916,319.8803719999996,319.8803719999996,319.8803719999996,319.8638031999999,3.35,5.45,335,545,8,3,1.2,0.75,466,2,474,0.7999999999999999,1,m,0.8708698000009463,None,,,,,,,,sub-074,COM3,46.6,2026-05-13_10h44.28.520,2024_RDpaindiscrimination_QUEST,2023.2.3,60.01503976929802,2026-05-13 10h44.44.436794 -0400,
