,neutral,z1,z2,z3,z4,z5
0,37.8,37.6,37.6,37.6,37.6,37.6
1,37.8,37.7,37.7,37.7,37.6,37.6
2,37.8,39.0,38.8,38.9,38.9,38.9
3,37.7,43.6,42.9,43.2,43.3,43.5
4,37.6,47.7,47.1,47.4,47.4,47.6
5,37.6,47.3,47.3,47.3,47.3,47.2
6,37.6,46.3,46.2,46.1,46.1,46.1
7,37.6,47.4,46.7,46.7,46.8,46.9
8,37.6,47.6,47.2,47.0,47.0,47.1
9,37.6,46.6,46.5,46.5,46.5,46.5
10,37.6,46.2,46.2,46.4,46.5,46.7
11,37.6,46.7,46.6,46.8,46.8,47.0
12,37.6,46.9,46.7,46.7,46.7,46.7
13,37.6,46.7,46.6,46.6,46.7,46.6
14,37.6,46.8,46.7,46.7,46.8,46.8
15,37.6,47.1,46.8,46.8,46.8,46.8
16,37.6,47.0,46.7,46.7,46.7,46.7
17,37.6,46.7,46.7,46.7,46.8,46.8
18,37.6,46.7,46.7,46.8,46.8,46.8
19,37.6,46.7,46.7,46.7,46.7,46.7
20,37.6,46.6,46.7,46.7,46.7,46.8
21,37.6,46.7,46.7,46.8,46.8,46.9
22,37.6,46.8,46.8,46.8,46.8,47.0
23,37.6,46.8,46.8,46.8,46.8,47.0
24,37.6,46.8,46.8,46.8,46.8,46.9
25,37.6,46.9,46.8,46.8,46.8,46.9
26,37.6,46.8,46.8,46.8,46.8,46.9
27,37.6,46.8,46.8,46.8,46.8,46.9
28,37.6,46.8,46.8,46.8,46.8,46.9
29,37.6,46.8,46.8,46.8,46.8,46.9
30,37.6,46.8,46.8,46.8,46.8,46.9
31,37.7,46.8,46.8,46.8,46.8,46.9
32,37.7,46.8,46.8,46.8,46.8,46.9
33,37.7,46.8,46.8,46.8,46.8,46.9
34,37.7,46.8,46.8,46.8,46.8,46.9
35,37.7,46.8,46.8,46.8,46.8,47.0
36,37.7,46.8,46.8,46.8,46.8,47.0
37,37.7,46.8,46.8,46.8,46.8,47.0
38,37.7,46.8,46.8,46.8,46.8,47.0
39,37.7,46.8,46.8,46.8,46.8,47.0
40,37.7,46.8,46.8,46.8,46.8,47.0
41,37.7,46.8,46.8,46.8,46.8,47.0
42,37.7,46.8,46.8,46.8,46.8,47.0
43,37.7,46.8,46.8,46.9,46.8,47.0
44,37.7,46.8,46.8,46.9,46.8,47.0
45,37.7,46.8,46.8,46.9,46.8,47.0
46,37.7,46.8,46.8,46.9,46.8,47.0
47,37.7,46.8,46.8,46.9,46.9,47.0
48,37.7,46.8,46.8,46.9,46.9,46.9
49,37.7,46.8,46.8,46.9,46.9,46.9
50,37.7,46.8,46.8,46.9,46.9,46.9
51,37.7,46.9,46.8,46.9,46.9,46.9
52,37.7,46.9,46.8,46.9,46.9,46.9
53,37.7,46.9,46.8,46.9,46.9,46.9
54,37.7,46.9,46.8,46.9,46.9,46.9
55,37.7,46.9,46.8,46.9,46.9,46.9
56,37.7,46.9,46.8,46.9,46.9,46.9
57,37.7,46.9,46.8,46.9,46.9,46.9
58,37.7,46.9,46.8,46.9,46.9,46.9
59,37.7,46.9,46.8,46.9,46.9,46.9
60,37.7,46.9,46.8,46.9,46.9,46.9
61,37.7,46.9,46.8,46.9,46.9,46.9
62,37.7,46.9,46.8,46.9,46.9,46.9
63,37.7,46.9,46.8,46.9,46.9,46.9
64,37.7,46.9,46.8,46.9,46.9,46.9
65,37.7,46.9,46.9,46.9,46.9,46.9
66,37.7,46.9,46.9,46.9,46.9,46.9
67,37.7,46.9,46.9,46.9,46.9,46.9
68,37.7,46.9,46.9,46.9,46.9,46.9
69,37.7,46.9,46.9,46.9,46.9,46.9
70,37.7,46.9,46.9,46.9,46.9,46.9
71,37.7,46.9,46.9,46.9,46.9,46.9
72,37.7,46.9,46.9,46.9,46.9,46.9
73,37.7,46.9,46.9,46.9,46.9,46.9
74,37.7,46.9,46.9,46.9,46.9,46.9
75,37.7,46.9,46.9,46.9,46.9,46.9
76,37.7,46.9,46.9,46.9,46.9,46.9
77,37.7,46.9,46.9,46.9,46.9,46.9
78,37.7,46.9,46.9,46.9,46.9,46.9
79,37.7,46.9,46.9,46.9,46.9,46.9
80,37.7,46.9,46.9,46.9,46.9,46.9
81,37.7,46.9,46.9,46.9,46.9,46.9
82,37.7,46.9,46.9,46.9,46.9,46.9
83,37.7,46.9,46.9,46.9,46.9,46.9
84,37.7,46.9,46.9,46.9,46.9,46.9
85,37.7,46.9,46.9,46.9,46.9,46.9
86,37.7,46.9,46.9,46.9,46.9,46.9
87,37.7,46.9,46.9,46.9,46.9,46.9
88,37.7,46.9,46.9,46.9,46.9,46.9
89,37.7,46.9,46.9,46.9,46.9,46.9
90,37.7,46.9,46.9,46.9,46.9,46.9
91,37.7,46.9,46.9,46.9,46.9,46.9
92,37.7,46.9,46.9,46.9,46.9,46.9
93,37.8,46.9,46.9,46.9,46.9,46.9
94,37.7,46.9,46.9,46.9,46.9,46.9
95,37.7,46.9,46.9,46.9,46.9,46.9
96,37.8,46.9,46.9,46.9,46.9,46.9
97,37.8,46.9,46.9,46.9,46.9,46.9
98,37.8,46.6,46.6,46.6,46.6,46.6
99,37.8,43.6,43.8,43.7,43.5,43.2
100,38.0,38.6,39.0,38.8,38.6,37.9
101,38.1,37.3,37.4,37.4,37.3,37.0
102,38.2,38.4,38.3,38.4,38.4,38.5
103,38.3,38.3,38.4,38.4,38.3,38.0
104,38.3,37.7,38.0,37.9,37.8,37.4
105,38.3,38.0,38.1,38.1,38.0,38.0
106,38.3,38.3,38.3,38.3,38.3,38.3
107,38.3,38.2,38.2,38.2,38.2,37.9
108,38.3,38.1,38.2,38.2,38.1,37.8
109,38.2,38.2,38.2,38.2,38.2,37.9
110,38.2,38.1,38.2,38.2,38.2,38.2
111,38.2,38.1,38.1,38.2,38.1,38.2
