trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,discrimin_resp.started,percu_or.started,responser.started,thermode_locali_pic.stopped,discrimin_resp.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,pic_a_utiliser,threshold,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,126.68178629999966,,0.02137369999763905,126.66520449999734,126.6655783999995,131.66521029999785,131.66521509999802,131.68184909999763,139.66518449999785,139.66518449999785,139.66518449999785,141.88196439999956,142.66527049999786,142.66527049999786,142.66527049999786,142.64859819999765,3.9,4.9,390,490,8,3,1.2,0.75,456,0,464,0.8,1,m,1.2249991999997292,None,,,,,,,,sub-076,COM3,45.6,2026-05-13_15h22.22.860,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98962179540786,2026-05-13 15h22.32.931118 -0400,
1,0,1,0,142.66527049999786,,,,142.64974529999745,147.64873140000054,147.64873649999936,147.6653559999977,155.64876949999962,155.64876949999962,155.64876949999962,157.86539469999843,158.64872710000054,158.64872710000054,158.64872710000054,158.63208659999873,4.41,4.39,441,438,8,3,1.2,0.75,456,1,460,0.4,1,m,1.073475100001815,None,,,,,,,,sub-076,COM3,45.6,2026-05-13_15h22.22.860,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98962179540786,2026-05-13 15h22.32.931118 -0400,
2,0,2,0,158.64872710000054,,,,158.633060199998,163.63212399999975,163.63212879999992,163.64875279999978,171.63230139999723,171.63230139999723,171.63230139999723,173.84898419999809,174.63232749999952,174.63232749999952,174.63232749999952,174.61573009999847,4.51,4.29,451,429,8,3,1.2,0.75,456,2,459,0.3,0,n,1.0939140000009502,None,,,,,,,,sub-076,COM3,45.6,2026-05-13_15h22.22.860,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98962179540786,2026-05-13 15h22.32.931118 -0400,
3,0,3,0,174.63232749999952,,,,174.61665709999943,179.61575559999983,179.61576019999848,179.63239199999953,187.6158069999983,187.6158069999983,187.6158069999983,189.83249299999807,190.61585759999798,190.61585759999798,190.61585759999798,190.59922729999744,3.77,5.03,377,503,8,3,1.2,0.75,456,3,462,0.6,0,n,0.9823722000000998,None,,,,,,,,sub-076,COM3,45.6,2026-05-13_15h22.22.860,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98962179540786,2026-05-13 15h22.32.931118 -0400,
4,0,4,0,190.61585759999798,,,,190.60017069999958,195.59924329999922,195.59924799999862,195.6158964999995,203.5991972999982,203.5991972999982,203.5991972999982,205.81603319999704,206.5993555999994,206.5993555999994,206.5993555999994,206.58274039999742,3.48,5.32,348,532,8,3,1.2,0.75,456,0,465,0.8999999999999999,None,None,,,,,,,,,,sub-076,COM3,45.6,2026-05-13_15h22.22.860,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98962179540786,2026-05-13 15h22.32.931118 -0400,
5,0,5,0,206.5993555999994,,,,206.58365739999863,211.58271299999979,211.58271799999784,211.59941699999763,219.58270769999945,219.58270769999945,219.58270769999945,221.79939599999852,222.58279459999903,222.58279459999903,222.58279459999903,222.56614309999713,4.1,4.7,409,470,8,3,1.2,0.75,456,1,465,0.8999999999999999,1,m,0.343394100000296,None,,,,,,,,sub-076,COM3,45.6,2026-05-13_15h22.22.860,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98962179540786,2026-05-13 15h22.32.931118 -0400,
6,0,6,0,222.58279459999903,,,,222.56710149999708,227.56618929999968,227.56619449999926,227.5828455999981,235.5662209000002,235.5662209000002,235.5662209000002,237.78294969999843,238.56630869999935,238.56630869999935,238.56630869999935,238.5496862,4.2,4.6,420,459,8,3,1.2,0.75,456,2,465,0.8999999999999999,1,m,0.3038743000033719,None,,,,,,,,sub-076,COM3,45.6,2026-05-13_15h22.22.860,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98962179540786,2026-05-13 15h22.32.931118 -0400,
7,0,7,0,238.56630869999935,,,,238.55067229999986,243.54981670000052,243.54982139999993,243.56644459999734,251.54974279999806,251.54974279999806,251.54974279999806,253.76655129999926,254.54981570000018,254.54981570000018,254.54981570000018,254.5334120999978,3.45,5.35,345,535,8,3,1.2,0.75,456,3,463,0.7,1,m,0.46041260000129114,None,,,,,,,,sub-076,COM3,45.6,2026-05-13_15h22.22.860,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98962179540786,2026-05-13 15h22.32.931118 -0400,
8,0,8,0,254.54981570000018,,,,254.53435419999732,259.5332410999981,259.53324639999846,259.54995979999876,267.53336409999974,267.53336409999974,267.53336409999974,269.75006740000026,270.53341589999764,270.53341589999764,270.53341589999764,270.5168109999977,3.85,4.95,385,495,8,3,1.2,0.75,456,0,463,0.7,0,n,0.4927605000011681,None,,,,,,,,sub-076,COM3,45.6,2026-05-13_15h22.22.860,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98962179540786,2026-05-13 15h22.32.931118 -0400,
9,0,9,0,270.53341589999764,,,,270.5177313999993,275.5168487999981,275.51685390000057,275.53346729999976,283.51676640000005,283.51676640000005,283.51676640000005,285.73358609999923,286.5168034999988,286.5168034999988,286.5168034999988,286.50019389999943,4.0,4.8,400,480,8,3,1.2,0.75,456,1,464,0.7999999999999999,1,m,0.369392999997217,None,,,,,,,,sub-076,COM3,45.6,2026-05-13_15h22.22.860,2024_RDpaindiscrimination_QUEST,2023.2.3,59.98962179540786,2026-05-13 15h22.32.931118 -0400,
