,age,n_male,n_female
count,46.0,13,32
mean,27.91304347826087,13,32
std,9.699544289310188,13,32
min,19.0,13,32
25%,21.0,13,32
50%,24.0,13,32
75%,32.5,13,32
max,58.0,13,32
