,Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
0,condition,0.019350052067928458,1,45,0.019350052067928458,0.9839650003035364,0.326525954423996,0.326525954423996,0.0034169122210690813,1.0
1,block,0.00254659155328804,1,45,0.00254659155328804,0.1298691521238343,0.7202538218844597,0.7202538218844597,0.000451025963851021,1.0
2,condition * block,0.009922367950803658,1,45,0.009922367950803658,0.5231799017043092,0.47323152707413363,0.47323152707413363,0.0017550545479019049,1.0
