,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,ng2,eps
0,condition,0.02568735827664419,1,28,0.02568735827664419,1.8548129197313887,0.18408219421512928,0.18408219421512928,0.006616705947293622,1.0
1,block,0.013987850887481272,1,28,0.013987850887481272,0.6793096543079779,0.4167904794671381,0.4167904794671381,0.0036139668502427167,1.0
2,condition * block,3.054382672604619e-05,1,28,3.054382672604619e-05,0.001558227049260974,0.9687922956572265,0.9687922956572265,7.920006665465542e-06,1.0
