,age,n_male,n_female
count,29.0,7,22
mean,26.75862068965517,7,22
std,8.998631532523602,7,22
min,19.0,7,22
25%,21.0,7,22
50%,23.0,7,22
75%,30.0,7,22
max,52.0,7,22
