trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,discrimin_resp.started,percu_or.started,responser.started,thermode_locali_pic.stopped,discrimin_resp.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,pic_a_utiliser,threshold,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,189.33831329998793,,0.02083900000434369,189.321852699999,189.32220600001165,194.32183880000957,194.3218446999963,194.33847190000233,202.32189530000323,202.32189530000323,202.32189530000323,204.5385633999831,205.32189469999867,205.32189469999867,205.32189469999867,205.3052536000032,4.2,4.6,420,459,8,3,1.2,0.75,473,0,481,0.8,0,m,0.6293026000203099,None,,,,,,,,sub-079,COM3,47.3,2026-05-25_08h48.02.997,2024_RDpaindiscrimination_QUEST,2023.2.3,60.04974520672009,2026-05-25 08h48.15.735515 -0400,
1,0,1,0,205.32189469999867,,,,205.3064100999909,210.30540370001108,210.30540889999247,210.3219495000085,218.30536170001142,218.30536170001142,218.30536170001142,220.5220788999868,221.30542449999484,221.30542449999484,221.30542449999484,221.28888020000886,3.78,5.02,378,501,8,3,1.2,0.75,473,1,483,1,1,n,0.7776895000133663,None,,,,,,,,sub-079,COM3,47.3,2026-05-25_08h48.02.997,2024_RDpaindiscrimination_QUEST,2023.2.3,60.04974520672009,2026-05-25 08h48.15.735515 -0400,
2,0,2,0,221.30542449999484,,,,221.28982969999197,226.28891780000413,226.288922799984,226.30545700000948,234.28889530000743,234.28889530000743,234.28889530000743,236.50568000000203,237.2889417000115,237.2889417000115,237.2889417000115,237.2723449000041,4.22,4.58,422,458,8,3,1.2,0.75,473,2,480,0.7,1,n,1.158325500000501,None,,,,,,,,sub-079,COM3,47.3,2026-05-25_08h48.02.997,2024_RDpaindiscrimination_QUEST,2023.2.3,60.04974520672009,2026-05-25 08h48.15.735515 -0400,
3,0,3,0,237.2889417000115,,,,237.2732646999939,242.27237200000673,242.2723769999866,242.28908879999653,250.2723515999969,250.2723515999969,250.2723515999969,252.48904690000927,253.27234960001078,253.27234960001078,253.27234960001078,253.2557584999886,4.54,4.26,454,426,8,3,1.2,0.75,473,3,480,0.7,1,n,0.9668798000202514,None,,,,,,,,sub-079,COM3,47.3,2026-05-25_08h48.02.997,2024_RDpaindiscrimination_QUEST,2023.2.3,60.04974520672009,2026-05-25 08h48.15.735515 -0400,
4,0,4,0,253.27234960001078,,,,253.25667969998904,258.255848300003,258.25585349998437,258.27257239999017,266.25588119999156,266.25588119999156,266.25588119999156,268.4726088999887,269.2561224999954,269.2561224999954,269.2561224999954,269.2395170000091,3.79,5.01,379,501,8,3,1.2,0.75,473,0,477,0.39999999999999997,1,n,0.6271603999775834,None,,,,,,,,sub-079,COM3,47.3,2026-05-25_08h48.02.997,2024_RDpaindiscrimination_QUEST,2023.2.3,60.04974520672009,2026-05-25 08h48.15.735515 -0400,
5,0,5,0,269.2561224999954,,,,269.24043790000724,274.23938610000187,274.2393910000101,274.25600590000977,282.2394723999896,282.2394723999896,282.2394723999896,284.4560552999901,285.2394648999907,285.2394648999907,285.2394648999907,285.2227985000063,4.61,4.19,461,419,8,3,1.2,0.75,473,1,477,0.39999999999999997,1,n,0.835512399993604,None,,,,,,,,sub-079,COM3,47.3,2026-05-25_08h48.02.997,2024_RDpaindiscrimination_QUEST,2023.2.3,60.04974520672009,2026-05-25 08h48.15.735515 -0400,
6,0,6,0,285.2394648999907,,,,285.2236731000012,290.22282170000835,290.2228262999852,290.2395782000094,298.22285530000227,298.22285530000227,298.22285530000227,300.4395727000083,301.22291670000413,301.22291670000413,301.22291670000413,301.2063133000047,4.05,4.75,405,475,8,3,1.2,0.75,473,2,476,0.3,1,n,0.8243101999978535,None,,,,,,,,sub-079,COM3,47.3,2026-05-25_08h48.02.997,2024_RDpaindiscrimination_QUEST,2023.2.3,60.04974520672009,2026-05-25 08h48.15.735515 -0400,
7,0,7,0,301.22291670000413,,,,301.20718450000277,306.206382400007,306.20638719998533,306.22305460000644,314.2064237000013,314.2064237000013,314.2064237000013,316.423186,317.2064088000043,317.2064088000043,317.2064088000043,317.1898070999887,3.85,4.95,385,495,8,3,1.2,0.75,473,3,476,0.3,1,n,0.7846644000092056,None,,,,,,,,sub-079,COM3,47.3,2026-05-25_08h48.02.997,2024_RDpaindiscrimination_QUEST,2023.2.3,60.04974520672009,2026-05-25 08h48.15.735515 -0400,
8,0,8,0,317.2064088000043,,,,317.19070159998955,322.1898525999859,322.1898571999918,322.20651630000793,330.1899024999875,330.1899024999875,330.1899024999875,332.4065793000045,333.1899607999949,333.1899607999949,333.1899607999949,333.1732856000017,4.33,4.47,433,447,8,3,1.2,0.75,473,0,476,0.3,1,n,1.1171080000058282,None,,,,,,,,sub-079,COM3,47.3,2026-05-25_08h48.02.997,2024_RDpaindiscrimination_QUEST,2023.2.3,60.04974520672009,2026-05-25 08h48.15.735515 -0400,
9,0,9,0,333.1899607999949,,,,333.1741732000082,338.17338610001025,338.1733910999901,338.19007469998905,346.17343339999206,346.17343339999206,346.17343339999206,348.3900798000104,349.17345229999046,349.17345229999046,349.17345229999046,349.1568163000047,4.16,4.64,416,463,8,3,1.2,0.75,473,1,476,0.3,1,n,0.8694982999877539,None,,,,,,,,sub-079,COM3,47.3,2026-05-25_08h48.02.997,2024_RDpaindiscrimination_QUEST,2023.2.3,60.04974520672009,2026-05-25 08h48.15.735515 -0400,
