,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,ng2,eps
0,condition,0.042723483071389894,1,28,0.042723483071389894,2.761210087351362,0.10773269279613902,0.10773269279613902,0.01020259007901773,1.0
1,block,0.027124139885839303,1,28,0.027124139885839303,1.3479762293277824,0.2554351179565973,0.2554351179565973,0.00650160556067231,1.0
2,condition * block,3.054382672582068e-05,1,28,3.054382672582068e-05,0.0015582270492494707,0.968792295657382,0.968792295657382,7.36915548587269e-06,1.0
