,linear,hyper,para,expo,win_model,target_ratings,selected_intensities,extrapolated_ratings
fitted,"[ 5.57013307  6.8507822   8.13143132  9.41208045 10.69272957 11.97337869
 13.25402782 14.53467694 15.81532606 17.09597519 18.37662431 19.65727344
 20.93792256 22.21857168 23.49922081 24.77986993 26.06051905 27.34116818
 28.6218173  29.90246643 31.18311555 32.46376467 33.7444138  35.02506292
 36.30571204 37.58636117 38.86701029 40.14765942 41.42830854 42.70895766
 43.98960679 45.27025591 46.55090503 47.83155416 49.11220328 50.3928524
 51.67350153 52.95415065 54.23479978 55.5154489  56.79609802 58.07674715
 59.35739627 60.63804539 61.91869452 63.19934364 64.47999277 65.76064189
 67.04129101 68.32194014 69.60258926 70.88323838 72.16388751 73.44453663
 74.72518576 76.00583488 77.286484   78.56713313 79.84778225 81.12843137
 82.4090805  83.68972962 84.97037875 86.25102787 87.53167699 88.81232612
 90.09297524 91.37362436 92.65427349 93.93492261 95.21557174 96.49622086]","[ 5.18576169  6.56670519  7.94378217  9.31700883 10.68640132 12.05197565
 13.41374778 14.77173357 16.12594878 17.47640911 18.82313013 20.16612737
 21.50541624 22.84101209 24.17293016 25.50118564 26.8257936  28.14676905
 29.46412691 30.77788202 32.08804914 33.39464295 34.69767805 35.99716895
 37.29313011 38.58557587 39.87452053 41.15997829 42.44196327 43.72048955
 44.99557109 46.26722179 47.53545549 48.80028593 50.06172681 51.31979172
 52.5744942  53.82584772 55.07386566 56.31856134 57.55994801 58.79803885
 60.03284696 61.2643854  62.49266711 63.71770501 64.93951193 66.15810064
 67.37348383 68.58567413 69.79468411 71.00052628 72.20321305 73.40275681
 74.59916986 75.79246443 76.98265271 78.1697468  79.35375876 80.53470058
 81.71258418 82.88742143 84.05922413 85.22800401 86.39377277 87.55654202
 88.71632333 89.8731282  91.02696806 92.17785432 93.32579828 94.47081123]","[ 23.80719211  23.41672825  23.0747023   22.78111426  22.53596412
  22.33925188  22.19097755  22.09114112  22.0397426   22.03678198
  22.08225927  22.17617446  22.31852756  22.50931856  22.74854746
  23.03621428  23.37231899  23.75686161  24.18984213  24.67126056
  25.2011169   25.77941113  26.40614328  27.08131332  27.80492128
  28.57696713  29.39745089  30.26637256  31.18373213  32.14952961
  33.16376499  34.22643827  35.33754946  36.49709855  37.70508555
  38.96151045  40.26637326  41.61967397  43.02141259  44.47158911
  45.97020354  47.51725587  49.1127461   50.75667424  52.44904029
  54.18984424  55.97908609  57.81676585  59.70288351  61.63743908
  63.62043255  65.65186393  67.73173321  69.8600404   72.03678549
  74.26196848  76.53558938  78.85764819  81.2281449   83.64707951
  86.11445203  88.63026245  91.19451078  93.80719701  96.46832115
  99.17788319 101.93588314 104.74232099 107.59719674 110.50051041
 113.45226197 116.45245144]","[ 6.42286311  7.57495171  8.731194    9.89159484 11.05615904 12.22489144
 13.39779687 14.57488012 15.75614602 16.94159936 18.13124494 19.32508756
 20.523132   21.72538303 22.93184543 24.14252397 25.35742341 26.57654851
 27.79990401 29.02749466 30.2593252  31.49540036 32.73572486 33.98030343
 35.22914079 36.48224164 37.73961068 39.00125262 40.26717215 41.53737396
 42.81186272 44.09064312 45.37371982 46.66109749 47.95278079 49.24877437
 50.54908288 51.85371097 53.16266327 54.47594442 55.79355904 57.11551175
 58.44180718 59.77244992 61.10744459 62.44679579 63.79050812 65.13858615
 66.49103448 67.84785769 69.20906035 70.57464703 71.94462229 73.3189907
 74.6977568  76.08092514 77.46850028 78.86048674 80.25688905 81.65771176
 83.06295937 84.47263641 85.8867474  87.30529683 88.72828922 90.15572906
 91.58762084 93.02396905 94.46477818 95.9100527  97.35979709 98.81401582]",para,"[30.0, 60.0]","[43.70000000000004, 45.80000000000007]","[30.26637256027152, 59.702883512442895]"
sse,4162.133739537999,4379.627261949376,2698.855469028718,3916.768412014299,para,"[30.0, 60.0]","[43.70000000000004, 45.80000000000007]","[30.26637256027152, 59.702883512442895]"
params,[-519.49600765   12.80649124    1.        ],[ 9.90222577e+02 -7.01648725e+04  3.02307107e+01],[ 4.26503303e+03 -2.02742237e+02  2.42189523e+00],[-1.83766334e+02  1.90928291e-02  2.47913913e+00],para,"[30.0, 60.0]","[43.70000000000004, 45.80000000000007]","[30.26637256027152, 59.702883512442895]"
stim_val,"[42.90000000000003, 45.30000000000006]","[42.800000000000026, 45.20000000000006]","[43.70000000000004, 45.80000000000007]","[43.00000000000003, 45.30000000000006]",para,"[30.0, 60.0]","[43.70000000000004, 45.80000000000007]","[30.26637256027152, 59.702883512442895]"
fitted_val,"[29.90246642526131, 60.63804539473699]","[29.464126906969454, 60.03284696415494]","[30.26637256027152, 59.702883512442895]","[30.25932519848402, 59.77244992207909]",para,"[30.0, 60.0]","[43.70000000000004, 45.80000000000007]","[30.26637256027152, 59.702883512442895]"
