,age,n_male,n_female
count,27.0,7,20
mean,27.14814814814815,7,20
std,9.214135059802677,7,20
min,19.0,7,20
25%,21.0,7,20
50%,23.0,7,20
75%,31.5,7,20
max,52.0,7,20
