,series,trial,intensity,rating,fired
0,0,0,41,0.0,1
1,0,1,42,17.000000000000078,1
2,0,2,43,34.50000000000013,1
3,0,3,44,60.0,1
4,0,4,45,53.499999999999986,1
5,0,5,46,70.99999999999996,1
6,0,6,47,92.50000000000011,1
7,0,7,48,100.0,1
8,1,0,41,4.0000000000002,1
9,1,1,42,4.500000000000058,1
10,1,2,43,5.5000000000000675,1
11,1,3,44,20.000000000000213,1
12,1,4,45,25.99999999999998,1
13,1,5,46,39.499999999999964,1
14,1,6,47,80.0,1
15,1,7,48,100.0,1
16,2,0,41,0.0,1
17,2,1,42,2.500000000000067,1
18,2,2,43,22.50000000000003,1
19,2,3,44,19.500000000000213,1
20,2,4,45,31.00000000000014,1
21,2,5,46,53.50000000000002,1
22,2,6,47,90.0,1
23,2,7,48,100.0,1
