,times,neutral,z1,z2,z3,z4,z5
0,0.12060046195983887,37.8,37.7,37.7,37.6,37.6,37.6
1,0.23222732543945312,37.8,37.7,37.7,37.6,37.6,37.6
2,0.3448505401611328,37.8,37.8,37.7,37.7,37.7,37.7
3,0.45654749870300293,37.8,38.3,38.2,38.2,38.2,38.2
4,0.5691711902618408,37.7,39.3,39.0,39.0,39.0,39.1
5,0.6807975769042969,37.7,40.1,39.8,39.8,39.8,39.9
6,0.792424201965332,37.7,40.8,40.6,40.5,40.6,40.7
7,0.9050471782684326,37.7,41.7,41.3,41.3,41.3,41.5
8,1.017667531967163,37.6,42.5,42.1,42.1,42.1,42.3
9,1.1292974948883057,37.6,42.9,42.6,42.5,42.6,42.7
10,1.2409203052520752,37.6,42.8,42.6,42.6,42.6,42.7
11,1.353548288345337,37.6,42.8,42.5,42.5,42.5,42.6
12,1.4651741981506348,37.6,42.8,42.6,42.5,42.6,42.7
13,1.57680082321167,37.6,42.8,42.6,42.6,42.6,42.7
14,1.6894245147705078,37.6,42.8,42.6,42.6,42.6,42.6
15,1.8005671501159668,37.6,42.8,42.6,42.6,42.6,42.7
16,1.9131903648376465,37.6,42.8,42.6,42.6,42.6,42.7
17,2.0258145332336426,37.6,42.8,42.6,42.6,42.6,42.7
18,2.1374406814575195,37.6,42.8,42.6,42.6,42.6,42.7
19,2.2500600814819336,37.6,42.8,42.6,42.6,42.6,42.7
20,2.3612358570098877,37.6,42.8,42.6,42.6,42.6,42.7
21,2.4738593101501465,37.6,42.8,42.6,42.6,42.6,42.7
22,2.5848419666290283,37.6,42.8,42.6,42.6,42.6,42.7
23,2.697464942932129,37.6,42.8,42.6,42.6,42.6,42.7
24,2.8100883960723877,37.6,42.8,42.6,42.6,42.6,42.7
25,2.9217147827148438,37.7,42.8,42.6,42.6,42.6,42.7
26,3.034334421157837,37.7,42.8,42.6,42.6,42.6,42.7
27,3.1459646224975586,37.7,42.8,42.6,42.6,42.7,42.7
28,3.257920742034912,37.7,42.8,42.6,42.6,42.7,42.7
29,3.370713472366333,37.7,42.8,42.6,42.6,42.7,42.7
30,3.4823403358459473,37.7,42.8,42.6,42.6,42.7,42.7
31,3.5939669609069824,37.7,42.8,42.6,42.6,42.7,42.7
32,3.706590414047241,37.7,42.8,42.6,42.6,42.7,42.7
33,3.8182170391082764,37.7,42.8,42.6,42.6,42.7,42.7
34,3.930840492248535,37.7,42.8,42.6,42.6,42.7,42.7
35,4.042466878890991,37.7,42.8,42.6,42.6,42.7,42.7
36,4.15509033203125,37.7,42.8,42.7,42.6,42.7,42.7
37,4.26671290397644,37.7,42.8,42.7,42.6,42.7,42.7
38,4.379340410232544,37.7,42.8,42.7,42.6,42.7,42.7
39,4.490967273712158,37.7,42.8,42.7,42.7,42.7,42.7
40,4.6028947830200195,37.7,42.8,42.7,42.7,42.7,42.7
41,4.714799880981445,37.7,42.8,42.7,42.7,42.7,42.7
42,4.826805353164673,37.7,42.8,42.7,42.7,42.7,42.7
43,4.939428806304932,37.7,42.8,42.7,42.7,42.7,42.7
44,5.051051378250122,37.7,42.8,42.7,42.7,42.7,42.7
45,5.163678884506226,37.7,42.8,42.7,42.7,42.7,42.7
46,5.275435209274292,37.7,42.8,42.7,42.7,42.7,42.7
47,5.387061595916748,37.7,42.8,42.7,42.7,42.7,42.7
48,5.499681234359741,37.7,42.8,42.7,42.7,42.7,42.7
49,5.611311674118042,37.7,42.8,42.7,42.7,42.7,42.7
50,5.723935127258301,37.7,42.9,42.8,42.8,42.8,42.8
