,series,trial,intensity,rating,fired
0,0,0,41,32.000000000000036,1
1,0,1,42,33.0000000000001,1
2,0,2,43,35.500000000000156,1
3,0,3,44,48.49999999999991,1
4,0,4,45,57.99999999999987,1
5,0,5,46,75.00000000000001,1
6,0,6,47,84.99999999999986,1
7,1,0,41,14.500000000000066,1
8,1,1,42,6.0000000000000675,1
9,1,2,43,5.500000000000023,1
10,1,3,44,5.4999999999999964,1
11,1,4,45,12.500000000000028,1
12,1,5,46,19.500000000000178,1
13,1,6,47,41.50000000000003,1
14,1,7,48,76.99999999999983,1
15,2,0,41,3.0000000000002003,1
16,2,1,42,8.500000000000203,1
17,2,2,43,9.000000000000203,1
18,2,3,44,16.500000000000007,1
19,2,4,45,17.500000000000078,1
20,2,5,46,31.50000000000004,1
21,2,6,47,55.49999999999996,1
22,2,7,48,82.49999999999986,1
