,neutral,z1,z2,z3,z4,z5
0,37.9,37.6,37.6,37.6,37.6,37.8
1,37.9,37.6,37.6,37.6,37.6,37.8
2,37.9,37.8,37.8,37.8,37.8,38.0
3,37.9,38.6,38.6,38.6,38.7,38.9
4,37.8,39.9,39.9,40.0,40.2,40.3
5,37.8,41.1,41.1,41.2,41.4,41.5
6,37.8,42.2,42.2,42.3,42.5,42.6
7,37.7,43.4,43.4,43.5,43.8,43.9
8,37.7,44.6,44.5,44.6,45.0,45.1
9,37.7,45.3,45.2,45.3,45.6,45.7
10,37.6,45.3,45.3,45.3,45.6,45.6
11,37.6,45.2,45.2,45.2,45.5,45.5
12,37.6,45.3,45.2,45.3,45.6,45.6
13,37.6,45.3,45.3,45.3,45.6,45.6
14,37.6,45.3,45.3,45.3,45.5,45.5
15,37.6,45.3,45.3,45.3,45.5,45.6
16,37.6,45.3,45.3,45.3,45.6,45.6
17,37.6,45.3,45.3,45.3,45.5,45.6
18,37.6,45.3,45.3,45.3,45.5,45.6
19,37.7,45.3,45.3,45.4,45.6,45.6
20,37.7,45.3,45.3,45.4,45.5,45.6
21,37.7,45.3,45.3,45.4,45.5,45.6
22,37.7,45.3,45.3,45.4,45.6,45.6
23,37.7,45.4,45.3,45.4,45.6,45.6
24,37.7,45.4,45.3,45.4,45.5,45.6
25,37.7,45.4,45.4,45.4,45.5,45.6
26,37.7,45.4,45.4,45.4,45.5,45.6
27,37.7,45.4,45.4,45.4,45.5,45.6
28,37.7,45.4,45.4,45.4,45.5,45.6
29,37.7,45.4,45.4,45.4,45.5,45.6
30,37.7,45.4,45.4,45.4,45.5,45.6
31,37.8,45.4,45.4,45.4,45.5,45.6
32,37.8,45.4,45.4,45.4,45.5,45.6
33,37.8,45.4,45.4,45.4,45.5,45.6
34,37.8,45.4,45.4,45.4,45.5,45.6
35,37.8,45.4,45.4,45.4,45.5,45.6
36,37.8,45.4,45.4,45.4,45.5,45.6
37,37.8,45.4,45.4,45.4,45.5,45.6
38,37.8,45.4,45.4,45.4,45.5,45.6
39,37.8,45.4,45.4,45.4,45.5,45.6
40,37.8,45.4,45.4,45.4,45.5,45.6
41,37.8,45.4,45.4,45.4,45.5,45.6
42,37.8,45.4,45.4,45.4,45.5,45.6
43,37.8,45.4,45.4,45.4,45.5,45.6
44,37.8,45.4,45.4,45.4,45.5,45.6
45,37.8,45.4,45.4,45.4,45.5,45.6
46,37.8,45.4,45.4,45.4,45.5,45.6
47,37.8,45.4,45.4,45.4,45.5,45.6
48,37.8,45.4,45.4,45.4,45.5,45.6
49,37.8,45.4,45.4,45.4,45.5,45.6
50,37.8,45.4,45.4,45.4,45.5,45.6
51,37.8,45.4,45.4,45.4,45.5,45.6
52,37.8,45.4,45.4,45.4,45.5,45.6
53,37.8,45.4,45.4,45.4,45.5,45.6
54,37.8,45.4,45.4,45.4,45.5,45.6
55,37.8,45.4,45.4,45.4,45.5,45.6
56,37.8,45.4,45.4,45.4,45.5,45.6
57,37.8,45.4,45.4,45.4,45.5,45.6
58,37.8,45.4,45.4,45.4,45.5,45.6
59,37.8,45.4,45.4,45.4,45.5,45.6
60,37.8,45.4,45.4,45.4,45.5,45.6
61,37.8,45.4,45.4,45.4,45.5,45.6
62,37.8,45.4,45.4,45.4,45.5,45.6
63,37.8,45.4,45.4,45.4,45.5,45.6
64,37.8,45.4,45.4,45.4,45.5,45.6
65,37.8,45.4,45.4,45.4,45.5,45.6
66,37.8,45.4,45.4,45.4,45.5,45.6
67,37.8,45.4,45.4,45.4,45.5,45.6
68,37.8,45.4,45.4,45.4,45.5,45.6
69,37.8,45.4,45.4,45.4,45.5,45.6
70,37.8,45.4,45.4,45.4,45.5,45.6
71,37.8,45.4,45.4,45.4,45.5,45.6
72,37.8,45.4,45.4,45.4,45.5,45.6
73,37.8,45.4,45.4,45.4,45.5,45.6
74,37.8,45.4,45.4,45.4,45.5,45.6
75,37.8,45.4,45.4,45.4,45.5,45.6
76,37.8,45.4,45.4,45.5,45.5,45.6
77,37.8,45.4,45.4,45.5,45.5,45.6
78,37.8,45.5,45.4,45.5,45.5,45.6
79,37.8,45.5,45.4,45.5,45.5,45.6
80,37.8,45.5,45.4,45.5,45.6,45.6
81,37.8,45.5,45.5,45.5,45.6,45.6
82,37.8,45.6,45.6,45.6,45.6,45.6
83,37.8,45.6,45.6,45.6,45.6,45.6
84,37.8,45.6,45.6,45.6,45.6,45.6
85,37.8,45.6,45.6,45.6,45.6,45.6
86,37.8,45.6,45.6,45.6,45.6,45.6
87,37.9,45.6,45.5,45.5,45.6,45.6
88,37.9,45.5,45.3,45.4,45.6,45.6
89,37.9,45.4,45.0,45.1,45.5,45.6
90,37.8,45.2,45.0,44.9,45.3,45.6
91,37.8,45.1,45.1,45.1,45.2,45.6
92,37.8,45.1,45.1,45.1,45.2,45.6
93,37.8,45.2,45.1,45.1,45.2,45.6
94,37.8,45.2,45.2,45.2,45.3,45.6
95,37.8,45.3,45.2,45.2,45.3,45.6
96,37.7,45.3,45.2,45.2,45.3,45.6
97,37.7,45.3,45.2,45.2,45.3,45.6
98,37.7,44.8,44.8,44.8,44.8,45.0
99,37.8,41.4,41.6,41.5,41.3,41.1
100,37.9,37.3,37.7,37.6,37.2,36.8
101,38.0,37.3,37.2,37.3,37.3,37.3
102,38.1,38.4,38.3,38.3,38.4,38.6
103,38.1,37.9,38.2,38.1,37.9,37.5
104,38.1,37.5,37.7,37.6,37.5,37.3
105,38.1,37.9,37.7,37.8,37.9,38.3
106,38.1,38.2,38.0,38.1,38.3,38.1
107,38.1,38.2,38.2,38.2,38.1,37.5
108,38.1,38.1,38.2,38.2,38.0,37.7
109,38.1,38.0,38.2,38.2,37.9,38.1
110,38.1,37.9,38.1,38.1,38.0,38.3
111,38.0,37.9,38.1,38.1,38.0,38.1
