,linear,hyper,para,expo,win_model,target_ratings,selected_intensities,extrapolated_ratings
fitted,"[ -4.30286685  -1.48236609   1.33813467   4.15863542   6.97913618
   9.79963694  12.6201377   15.44063845  18.26113921  21.08163997
  23.90214073  26.72264149  29.54314224  32.363643    35.18414376
  38.00464452  40.82514528  43.64564603  46.46614679  49.28664755
  52.10714831  54.92764906  57.74814982  60.56865058  63.38915134
  66.2096521   69.03015285  71.85065361  74.67115437  77.49165513
  80.31215589  83.13265664  85.9531574   88.77365816  91.59415892
  94.41465967  97.23516043 100.05566119 102.87616195 105.69666271
 108.51716346 111.33766422]","[ -5.74774889  -2.68368211   0.36680574   3.40380473   6.42740414
   9.43769244  12.43475735  15.4186858   18.38956398  21.34747731
  24.29251047  27.22474741  30.14427135  33.05116479  35.94550951
  38.8273866   41.69687644  44.55405873  47.39901248  50.23181603
  53.05254704  55.86128254  58.65809887  61.44307174  64.21627623
  66.97778677  69.72767717  72.46602063  75.19288972  77.9083564
  80.61249205  83.30536745  85.98705278  88.65761764  91.31713107
  93.96566153  96.60327689  99.23004452 101.84603118 104.45130311
 107.04592601 109.62996503]","[ -4.31565439  -1.49303      1.32948388   4.15188725   6.97418009
   9.79636243  12.61843424  15.44039554  18.26224632  21.08398659
  23.90561634  26.72713558  29.5485443   32.36984251  35.19103019
  38.01210737  40.83307402  43.65393016  46.47467579  49.2953109
  52.11583549  54.93624957  57.75655313  60.57674617  63.3968287
  66.21680072  69.03666221  71.8564132   74.67605366  77.49558361
  80.31500305  83.13431196  85.95351037  88.77259825  91.59157562
  94.41044248  97.22919881 100.04784464 102.86637994 105.68480473
 108.50311901 111.32132277]","[ -3.05705234  -0.43208439   2.2026613    4.8471994    7.50154455
  10.16571141  12.83971461  15.52356879  18.21728854  20.9208885
  23.63438323  26.35778734  29.0911154   31.83438197  34.5876016
  37.35078884  40.12395823  42.90712428  45.70030152  48.50350444
  51.31674754  54.1400453   56.9734122   59.81686271  62.67041126
  65.53407232  68.40786031  71.29178965  74.18587477  77.09013007
  80.00456994  82.92920877  85.86406094  88.8091408   91.76446272
  94.73004105  97.70589012 100.69202426 103.68845778 106.695205
 109.71228022 112.73969772]",para,"[30.0, 60.0]","[46.20000000000002, 47.30000000000003]","[29.548544301026233, 60.57674617404794]"
sse,3288.783895153823,3302.139140666268,3288.7833600044164,3296.199338672123,para,"[30.0, 60.0]","[46.20000000000002, 47.30000000000003]","[29.548544301026233, 60.57674617404794]"
params,[-1.27352821e+03  2.82050076e+01  1.00000000e+00],[ 1.37399347e+03 -6.19914102e+04 -7.02628296e-02],[-1.28571123e+03  2.87241181e+01 -5.52579545e-03],[-4.43521274e+02  1.65416760e-02  2.67680718e+00],para,"[30.0, 60.0]","[46.20000000000002, 47.30000000000003]","[29.548544301026233, 60.57674617404794]"
stim_val,"[46.20000000000002, 47.30000000000003]","[46.20000000000002, 47.20000000000003]","[46.20000000000002, 47.30000000000003]","[46.20000000000002, 47.30000000000003]",para,"[30.0, 60.0]","[46.20000000000002, 47.30000000000003]","[29.548544301026233, 60.57674617404794]"
fitted_val,"[29.543142244160663, 60.56865058055223]","[30.144271350172858, 58.65809886570605]","[29.548544301026233, 60.57674617404794]","[29.09111540001925, 59.81686270523585]",para,"[30.0, 60.0]","[46.20000000000002, 47.30000000000003]","[29.548544301026233, 60.57674617404794]"
