,series,trial,intensity,rating,fired
0,0,0,41,0.0,1
1,0,1,42,0.0,1
2,0,2,43,0.0,1
3,0,3,44,3.0,1
4,0,4,45,1.0000000000002005,1
5,0,5,46,11.50000000000017,1
6,0,6,47,15.500000000000139,1
7,0,7,48,36.99999999999994,1
8,0,8,49,90.0,1
9,1,0,41,0.0,1
10,1,1,42,0.0,1
11,1,2,43,0.0,1
12,1,3,44,0.0,1
13,1,4,45,1.0000000000000002,1
14,1,5,46,2.5,1
15,1,6,47,4.9999999999999964,1
16,1,7,48,80.0,1
17,2,0,41,0.0,1
18,2,1,42,0.0,1
19,2,2,43,12.000000000000028,1
20,2,3,44,0.0,1
21,2,4,45,41.5,1
22,2,5,46,40.0,1
23,2,6,47,57.999999999999936,1
24,2,7,48,86.50000000000003,1
