,age,n_male,n_female
count,44.0,11,32
mean,27.727272727272727,11,32
std,9.940201758196737,11,32
min,19.0,11,32
25%,21.0,11,32
50%,24.0,11,32
75%,31.5,11,32
max,58.0,11,32
