trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,discrimin_resp.started,percu_or.started,responser.started,thermode_locali_pic.stopped,discrimin_resp.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,pic_a_utiliser,threshold,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,166.67996420001145,,0.02530699991621077,166.66337540000677,166.6637748000212,171.6633593000006,171.66336529992986,171.68002129998058,179.66348779993132,179.66348779993132,179.66348779993132,181.88018129998818,182.6635625999188,182.6635625999188,182.6635625999188,182.64703899994493,4.04,4.76,404,476,8,3,1.2,0.75,477,0,485,0.8,1,m,0.7939559000078589,None,,,,,,,,sub-078,COM3,47.7,2026-05-21_13h16.35.793,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00632465889293,2026-05-21 13h16.46.076590 -0400,
1,0,1,0,182.6635625999188,,,,182.648170499946,187.6468822999159,187.64688739995472,187.66348699992523,195.6636158999754,195.6636158999754,195.6636158999754,197.863650699961,198.66365509992465,198.66365509992465,198.66365509992465,198.6470682999352,4.6,4.2,459,420,8,3,1.2,0.75,477,1,481,0.4,1,m,0.5617627999745309,None,,,,,,,,sub-078,COM3,47.7,2026-05-21_13h16.35.793,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00632465889293,2026-05-21 13h16.46.076590 -0400,
2,0,2,0,198.66365509992465,,,,198.6479722999502,203.6471708000172,203.6471758999396,203.66379869997036,211.6471368999919,211.6471368999919,211.6471368999919,213.86387829994783,214.64726270001847,214.64726270001847,214.64726270001847,214.630645899917,4.46,4.34,446,434,8,3,1.2,0.75,477,2,480,0.3,1,m,0.7902830000966787,None,,,,,,,,sub-078,COM3,47.7,2026-05-21_13h16.35.793,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00632465889293,2026-05-21 13h16.46.076590 -0400,
3,0,3,0,214.64726270001847,,,,214.6315343999304,219.63055729994085,219.63056229997892,219.64721750002354,227.63068509998266,227.63068509998266,227.63068509998266,229.84732539998367,230.6306704999879,230.6306704999879,230.6306704999879,230.6140869000228,3.37,5.43,337,543,8,3,1.2,0.75,477,3,480,0.3,1,m,0.7346697999164462,None,,,,,,,,sub-078,COM3,47.7,2026-05-21_13h16.35.793,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00632465889293,2026-05-21 13h16.46.076590 -0400,
4,0,4,0,230.6306704999879,,,,230.61497380002402,235.61414860002697,235.6141533999471,235.6308168999385,243.61424299993087,243.61424299993087,243.61424299993087,245.83093539997935,246.6141497999197,246.6141497999197,246.6141497999197,246.59754310001153,4.21,4.59,421,459,8,3,1.2,0.75,477,0,480,0.3,1,m,1.4670614999486133,None,,,,,,,,sub-078,COM3,47.7,2026-05-21_13h16.35.793,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00632465889293,2026-05-21 13h16.46.076590 -0400,
5,0,5,0,246.6141497999197,,,,246.59842499997467,251.59757719992194,251.59758189995773,251.61424559995066,259.5976961000124,259.5976961000124,259.5976961000124,261.8144430000102,262.59779429994524,262.59779429994524,262.59779429994524,262.58119439997245,4.32,4.48,432,448,8,3,1.2,0.75,477,1,480,0.3,1,m,0.8596554000396281,None,,,,,,,,sub-078,COM3,47.7,2026-05-21_13h16.35.793,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00632465889293,2026-05-21 13h16.46.076590 -0400,
6,0,6,0,262.59779429994524,,,,262.5820904999273,267.58121709991246,267.58122209995054,267.59784159995615,275.5812780999113,275.5812780999113,275.5812780999113,277.79796150000766,278.58130820002407,278.58130820002407,278.58130820002407,278.5646644999506,3.65,5.15,365,515,8,3,1.2,0.75,477,2,480,0.3,1,m,2.5119154000421986,None,,,,,,,,sub-078,COM3,47.7,2026-05-21_13h16.35.793,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00632465889293,2026-05-21 13h16.46.076590 -0400,
7,0,7,0,278.58130820002407,,,,278.5655295000179,283.5646043999586,283.5646093999967,283.58130720001645,291.56464859994594,291.56464859994594,291.56464859994594,293.7814652000088,294.5648115000222,294.5648115000222,294.5648115000222,294.5481639999198,3.95,4.85,395,484,8,3,1.2,0.75,477,3,480,0.3,1,m,1.7926563000073656,None,,,,,,,,sub-078,COM3,47.7,2026-05-21_13h16.35.793,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00632465889293,2026-05-21 13h16.46.076590 -0400,
8,0,8,0,294.5648115000222,,,,294.5490577999735,299.5482492999872,299.5482546999119,299.5648745999206,307.548245199956,307.548245199956,307.548245199956,309.76488539995626,310.54831669991836,310.54831669991836,310.54831669991836,310.5317044999683,3.71,5.09,371,509,8,3,1.2,0.75,477,0,480,0.3,1,m,2.1091043999185786,None,,,,,,,,sub-078,COM3,47.7,2026-05-21_13h16.35.793,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00632465889293,2026-05-21 13h16.46.076590 -0400,
9,0,9,0,310.54831669991836,,,,310.5325667000143,315.5316379999276,315.5316445999779,315.54828420002013,323.53181650000624,323.53181650000624,323.53181650000624,325.7484861999983,326.5318263999652,326.5318263999652,326.5318263999652,326.51523229992017,4.12,4.68,412,468,8,3,1.2,0.75,477,1,480,0.3,0,n,2.7255387000041083,None,,,,,,,,sub-078,COM3,47.7,2026-05-21_13h16.35.793,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00632465889293,2026-05-21 13h16.46.076590 -0400,
10,0,10,0,326.5318263999652,,,,326.5161345999222,331.5152086999733,331.51521400001366,331.5317961999681,339.51532499992754,339.51532499992754,339.51532499992754,341.7320135999471,342.51529959996697,342.51529959996697,342.51529959996697,342.4987042999128,3.66,5.14,366,514,8,3,1.2,0.75,477,2,483,0.6,0,n,1.857949599972926,None,,,,,,,,sub-078,COM3,47.7,2026-05-21_13h16.35.793,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00632465889293,2026-05-21 13h16.46.076590 -0400,
11,0,11,0,342.51529959996697,,,,342.4996423999546,347.4987791000167,347.49878379993606,347.51540179993026,355.49869559996296,355.49869559996296,355.49869559996296,357.7155142999254,358.49885370000266,358.49885370000266,358.49885370000266,358.4821677999571,3.86,4.94,386,494,8,3,1.2,0.75,477,3,486,0.8999999999999999,1,m,1.37860549998004,None,,,,,,,,sub-078,COM3,47.7,2026-05-21_13h16.35.793,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00632465889293,2026-05-21 13h16.46.076590 -0400,
12,0,12,0,358.49885370000266,,,,358.4830350999255,363.4821916000219,363.4821964999428,363.49882879992947,371.48223979992326,371.48223979992326,371.48223979992326,373.6990235999692,374.482364699943,374.482364699943,374.482364699943,374.4657678999938,3.85,4.95,385,495,8,3,1.2,0.75,477,0,486,0.8999999999999999,1,m,0.4550417000427842,None,,,,,,,,sub-078,COM3,47.7,2026-05-21_13h16.35.793,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00632465889293,2026-05-21 13h16.46.076590 -0400,
13,0,13,0,374.482364699943,,,,374.46667899994645,379.4658242999576,379.4658297999995,379.4823330999352,387.4657387000043,387.4657387000043,387.4657387000043,389.6824091000017,390.46583429991733,390.46583429991733,390.46583429991733,390.449182500015,3.75,5.05,375,505,8,3,1.2,0.75,477,1,484,0.7,1,m,0.6796285000164062,None,,,,,,,,sub-078,COM3,47.7,2026-05-21_13h16.35.793,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00632465889293,2026-05-21 13h16.46.076590 -0400,
