,neutral,z1,z2,z3,z4,z5
0,37.8,37.7,37.7,37.8,37.8,37.7
1,37.8,37.7,37.7,37.8,37.8,37.7
2,37.8,37.9,37.9,38.0,38.0,38.0
3,37.8,39.0,39.0,39.0,39.1,39.1
4,37.8,40.8,40.6,40.7,40.8,40.8
5,37.7,42.3,42.2,42.2,42.3,42.3
6,37.7,43.7,43.5,43.6,43.7,43.7
7,37.6,45.2,45.1,45.1,45.2,45.2
8,37.6,46.7,46.5,46.5,46.6,46.6
9,37.5,47.5,47.4,47.4,47.5,47.5
10,37.5,47.5,47.4,47.4,47.5,47.5
11,37.5,47.4,47.3,47.3,47.4,47.4
12,37.5,47.5,47.4,47.4,47.4,47.5
13,37.5,47.5,47.4,47.4,47.5,47.5
14,37.5,47.5,47.4,47.4,47.4,47.5
15,37.5,47.5,47.4,47.4,47.5,47.5
16,37.5,47.5,47.5,47.5,47.5,47.5
17,37.5,47.5,47.5,47.5,47.5,47.5
18,37.5,47.5,47.5,47.5,47.5,47.5
19,37.5,47.6,47.5,47.5,47.5,47.5
20,37.5,47.6,47.5,47.5,47.5,47.5
21,37.5,47.6,47.5,47.5,47.5,47.5
22,37.6,47.6,47.5,47.5,47.5,47.6
23,37.6,47.6,47.5,47.5,47.5,47.6
24,37.6,47.6,47.5,47.5,47.6,47.6
25,37.6,47.6,47.5,47.5,47.6,47.6
26,37.6,47.6,47.5,47.5,47.6,47.6
27,37.6,47.6,47.5,47.5,47.6,47.6
28,37.6,47.6,47.5,47.5,47.6,47.6
29,37.6,47.6,47.5,47.5,47.6,47.6
30,37.6,47.6,47.5,47.6,47.6,47.6
31,37.6,47.6,47.5,47.6,47.6,47.6
32,37.6,47.6,47.5,47.6,47.6,47.6
33,37.6,47.6,47.5,47.6,47.6,47.6
34,37.6,47.6,47.5,47.6,47.6,47.6
35,37.6,47.6,47.5,47.6,47.6,47.6
36,37.7,47.6,47.5,47.6,47.6,47.6
37,37.7,47.6,47.6,47.6,47.6,47.6
38,37.7,47.7,47.7,47.7,47.7,47.7
39,37.7,48.1,48.0,48.0,48.0,48.1
40,37.7,48.2,48.1,48.1,48.2,48.2
41,37.7,48.1,48.0,48.1,48.1,48.1
42,37.7,48.1,48.0,48.1,48.1,48.1
43,37.7,48.1,48.1,48.1,48.1,48.1
44,37.7,48.1,48.1,48.1,48.1,48.1
45,37.7,48.1,48.1,48.1,48.1,48.1
46,37.7,48.1,48.1,48.1,48.1,48.1
47,37.7,48.1,48.1,48.1,48.1,48.1
48,37.7,47.9,47.9,47.9,47.9,48.0
49,37.7,47.6,47.6,47.6,47.6,47.6
50,37.7,47.6,47.5,47.5,47.6,47.6
51,37.7,47.7,47.6,47.6,47.6,47.7
52,37.7,47.6,47.6,47.6,47.6,47.6
53,37.7,47.6,47.6,47.6,47.6,47.6
54,37.7,47.6,47.6,47.6,47.6,47.6
55,37.7,47.6,47.6,47.6,47.6,47.7
56,37.7,47.6,47.6,47.6,47.6,47.6
57,37.7,47.6,47.6,47.6,47.6,47.6
58,37.7,47.7,47.6,47.6,47.6,47.7
59,37.7,47.6,47.6,47.6,47.6,47.7
60,37.7,47.6,47.6,47.6,47.6,47.7
61,37.7,47.6,47.6,47.6,47.6,47.7
62,37.7,47.6,47.6,47.6,47.6,47.7
63,37.7,47.6,47.6,47.6,47.6,47.7
64,37.7,47.6,47.6,47.6,47.6,47.7
65,37.7,47.6,47.6,47.6,47.6,47.7
66,37.7,47.6,47.6,47.6,47.6,47.7
67,37.7,47.6,47.6,47.6,47.6,47.7
68,37.7,47.6,47.6,47.6,47.6,47.7
69,37.7,47.6,47.6,47.6,47.6,47.7
70,37.7,47.6,47.6,47.6,47.6,47.7
71,37.7,47.6,47.6,47.6,47.6,47.7
72,37.7,47.6,47.6,47.6,47.6,47.7
73,37.7,47.6,47.6,47.6,47.6,47.7
74,37.7,47.6,47.6,47.6,47.6,47.7
75,37.7,47.6,47.6,47.6,47.6,47.7
76,37.7,47.6,47.6,47.6,47.6,47.7
77,37.7,47.6,47.6,47.6,47.6,47.7
78,37.7,47.6,47.6,47.6,47.6,47.7
79,37.7,47.6,47.6,47.6,47.6,47.7
80,37.7,47.6,47.6,47.6,47.6,47.7
81,37.7,47.6,47.6,47.6,47.6,47.7
82,37.7,47.6,47.6,47.6,47.6,47.7
83,37.7,47.6,47.6,47.6,47.6,47.7
84,37.7,47.6,47.6,47.6,47.6,47.7
85,37.7,47.6,47.6,47.6,47.6,47.7
86,37.7,47.6,47.6,47.6,47.6,47.7
87,37.7,47.6,47.6,47.6,47.6,47.7
88,37.7,47.7,47.6,47.6,47.7,47.7
89,37.7,47.8,47.7,47.7,47.8,47.8
90,37.7,47.8,47.8,47.8,47.8,47.8
91,37.7,47.7,47.8,47.8,47.8,47.8
92,37.8,47.7,47.7,47.7,47.7,47.7
93,37.8,47.7,47.7,47.7,47.8,47.7
94,37.8,47.7,47.7,47.7,47.7,47.7
95,37.8,47.7,47.7,47.7,47.7,47.7
96,37.8,47.7,47.7,47.7,47.7,47.7
97,37.8,47.7,47.7,47.7,47.7,47.7
98,37.8,47.2,47.3,47.2,47.2,47.2
99,37.9,43.4,43.6,43.4,43.4,43.4
100,38.0,37.4,37.7,37.4,37.4,37.4
101,38.2,36.6,36.6,36.6,36.7,36.7
102,38.2,38.7,38.6,38.7,38.7,38.7
103,38.2,37.9,38.1,37.9,37.9,37.8
104,38.3,37.1,37.1,37.1,37.1,37.1
105,38.3,38.1,37.9,38.1,38.1,38.2
106,38.3,38.3,38.4,38.3,38.3,38.3
107,38.3,37.5,37.7,37.5,37.6,37.5
108,38.2,37.6,37.5,37.6,37.6,37.7
109,38.2,38.2,38.0,38.2,38.2,38.2
110,38.2,38.2,38.3,38.2,38.3,38.2
111,38.1,37.9,38.1,37.8,37.9,38.0
